会社名,会社コード,年月,現金・預金／現金及び現金同等物,受取手形・売掛金及び契約資産／売掛金及びその他の短期債権,棚卸資産,投資有価証券・関係会社株式・出資金,資産合計,支払手形・買掛金／買掛金及びその他の短期債務,長期借入金・社債・転換社債,負債合計,売上高・営業収益［累計］,売上総利益［累計］_x,営業利益［累計］_x,当期純利益（連結）［累計］_x,投資活動によるキャッシュフロー,財務活動によるキャッシュフロー,配当性向［累計］,ROE,ROA,東京終値,時価総額成長率
トヨタ自動車,T7203,2005-03-01,0.063585835,0.075298137,0.053696668,0.175645164,24335011,0.076301548,0.2060786,0.607566276,0.76233892,0.2183779382892814,0.0901374366723255,,-0.125793902,0.017233771,,,0.090137437,1182.18,0.053970523
トヨタ自動車,T7203,2006-03-01,0.056374733,0.069615731,0.056417856,0.18206062,28731595,0.072623431,0.196316633,0.611924469,0.732187301,0.2234927669269283,0.089287927233036,,-0.117483906,0.030520791,,,0.089287927,1728.16,0.556615419
トヨタ自動車,T7203,2007-03-01,0.059158897,0.062889176,0.055378918,0.180754227,32574779,0.067892586,0.192283269,0.617362377,0.735172785,0.2334981940731726,0.0934806452840019,,-0.117096052,0.02706904,,,0.093480645,1713.61,0.223971904
トヨタ自動車,T7203,2008-03-01,0.054325671,0.063395271,0.056248013,0.170304378,32458320,0.068172752,0.184295768,0.614083723,0.809938407,0.2220262738671791,0.0863613782673063,,-0.119380362,0.021756795,25.9,,0.086361378,1212.96,-0.322242886
トヨタ自動車,T7203,2009-03-01,0.085660135,0.048440617,0.050216508,0.13520212,29062037,0.044713142,0.216828194,0.635237647,0.70640506,0.1491095039983789,-0.0224559501246251,,-0.042330825,0.024046525,,,-0.02245595,773.66,-0.447685526
トヨタ自動車,T7203,2010-03-01,0.074415916,0.0626047,0.046866768,0.13626676,30349287,0.064466259,0.231155645,0.639845147,0.624428936,0.1572202651547231,0.0077840858092088,,-0.093912717,-0.009159424,67.4,,0.007784086,978.81,0.172987054
トヨタ自動車,T7203,2011-03-01,0.076617153,0.048997212,0.043739846,0.181047956,29818166,0.050407929,0.216284932,0.633779489,0.636983777,0.1583633994619686,0.0246544536269101,465485.0,-0.070974989,0.014565852,38.4,0.015610786,0.024654454,869.38,-0.025560538
トヨタ自動車,T7203,2012-03-01,0.057404424,0.065669417,0.0529276,0.194922378,30650965,0.073165168,0.197131705,0.638951726,0.606299117,0.1500100652977108,0.0191365497407856,368302.0,-0.047067295,-0.011593338,55.6,0.012016,0.01913655,854.35,0.000785772
トヨタ自動車,T7203,2013-03-01,0.051432537,0.056013196,0.048354724,0.205163035,35483317,0.059571037,0.20679645,0.640032075,0.621818755,0.1837195307219951,0.0598656864479787,1083482.0,-0.085316488,0.013449757,29.6,0.03053497,0.059865686,1034.71,0.41223591
トヨタ自動車,T7203,2014-03-01,0.053607926,0.049593082,0.04572441,0.221896277,41437473,0.053411027,0.206260406,0.632724056,0.620016356,0.2220024037916058,0.0892153176149489,1991648.0,-0.10464557,0.022189577,28.7,0.048063936,0.089215318,1202.89,0.165083913
トヨタ自動車,T7203,2015-03-01,0.050992807,0.045034918,0.044785787,0.216292118,47729830,0.050504852,0.209814177,0.630266251,0.570597486,0.231990825173683,0.1009954975892544,2307904.0,-0.079897414,0.006412028,29.0,0.048353494,0.100995498,1543.11,0.455320694
トヨタ自動車,T7203,2016-03-01,0.083737365,0.04394315,0.043466486,0.21235339,47427597,0.050382375,0.206041748,0.618614749,0.598873226,0.2445869499257088,0.1004809049485341,2434211.0,-0.06710321,-0.008930897,28.3,0.051324781,0.100480905,1347.2,-0.27968113
トヨタ自動車,T7203,2017-03-01,0.083645404,0.044431584,0.048997085,0.215908243,48750186,0.052643532,0.203314014,0.617048579,0.566094107,0.2193758618856635,0.0722672048566678,1926985.0,-0.060921593,-0.007695663,34.6,0.039527747,0.072267205,1512.6,0.019736521
トヨタ自動車,T7203,2018-03-01,0.07858578,0.044634569,0.050484544,0.221876933,50308249,0.05141616,0.198901258,0.603999813,0.583989914,0.2307402676218902,0.0816848885498771,2586106.0,-0.072753317,-0.008927661,26.1,0.051405209,0.081684889,1716.3,0.081552067
トヨタ自動車,T7203,2019-03-01,0.090514674,0.046000084,0.051146555,0.207822161,51936949,0.050946081,0.203149111,0.604035077,0.581968744,0.226171446724393,0.0816373665824105,1985587.0,-0.051932989,-0.010413376,33.8,0.038230721,0.081637367,1591.64,-0.034731647
トヨタ自動車,T7203,2020-03-01,0.091583891,0.171753903,0.046947954,,53972363,0.064811485,0.206926997,0.604630763,0.553367415,0.1801746951195931,0.0803317504363661,2111125.0,-0.039365517,0.006722051,30.2,0.039114927,0.08033175,1403.04,-0.004113458
トヨタ自動車,T7203,2021-03-01,0.123132008,0.15602019,0.046381253,,62267140,0.064977113,0.210926726,0.609933442,0.437061892,0.1775655370791127,0.0807562295436044,2282378.0,-0.075227078,0.043990683,29.8,0.036654615,0.08075623,1954.0,0.248055009
トヨタ自動車,T7203,2022-03-01,0.097790962,0.152523954,0.0564548,,67688771,0.063409217,0.220771138,0.59882829,0.46358512,0.1903048699904686,0.0954666687402067,2874614.0,-0.008531637,-0.036439072,25.3,0.042468108,0.095466669,1946.4,0.223015346
トヨタ自動車,T7203,2023-03-01,0.103945215,0.159696207,0.057273646,,74303180,0.067107612,0.224558141,0.606151271,0.500036445,0.1699134781122765,0.0733434662121728,2492967.0,-0.02151846,-0.000756091,33.4,0.033551283,0.073343466,2003.5,-0.097481125
トヨタ自動車,T7203,2024-03-01,0.122276869,0.164754081,0.051105853,,90114296,0.058274405,0.230444945,0.608948418,0.500423651,0.2077447717695792,0.1187026371358893,5071421.0,-0.055471232,0.027715447,20.4,0.056277652,0.118702637,2768.62,0.995222584
ソニーグループ,T6758,2005-03-01,0.08217568,0.117176469,0.066464086,0.289047278,9499100,0.084854776,0.071479614,0.695320083,0.753715194,0.3016228803332469,0.0159113282053115,,-0.098027392,0.021599625,,,0.015911328,1182.18,-0.041979937
ソニーグループ,T6758,2006-03-01,0.066281521,0.101347665,0.075861872,0.331823997,10607753,0.076673354,0.072107448,0.694473184,0.708029024,0.3141161747861055,0.0301462054214864,,-0.082134642,0.033924621,,,0.030146205,1728.16,0.387002891
ソニーグループ,T6758,2007-03-01,0.06827196,0.12721116,0.080304364,0.33190644,11716362,0.100687739,0.085436503,0.708981849,0.708043589,0.2900412804472681,0.0086490643641069,,-0.06106247,0.021158701,,,0.008649064,1713.61,0.114292392
ソニーグループ,T6758,2008-03-01,0.086549318,0.094291772,0.08138423,0.345394579,12552739,0.073364068,0.058079675,0.701902668,0.706731336,0.2909786421871417,0.0535764648115847,,-0.07252935,0.04027153,6.8,,0.053576465,1212.96,-0.279889534
ソニーグループ,T6758,2009-03-01,0.05500382,0.080229418,0.067679465,0.399419454,12013511,0.046680358,0.05495038,0.732251296,0.643441622,0.2677219759448682,-0.0294674264258712,,-0.090010489,0.0222631,,,-0.029467426,773.66,-0.559496611
ソニーグループ,T6758,2010-03-01,0.092615999,0.077420424,0.050167051,0.411887614,12866114,0.063509308,0.071832645,0.744635016,0.560697504,0.3217959029098705,0.0044042152492972,,-0.057982076,0.028370182,,,0.004404215,978.81,0.77058124
ソニーグループ,T6758,2011-03-01,0.078568849,0.064612588,0.054529963,0.456401465,12911122,0.061441213,0.062909715,0.771057697,0.556208283,0.3272274985228942,0.0278252894716577,-220326.0,-0.05533516,-0.000783201,,-0.017064823,0.027825289,869.38,-0.199312695
ソニーグループ,T6758,2012-03-01,0.067283274,0.063247974,0.05317913,0.47530342,13295667,0.057062199,0.057328903,0.811207591,0.488370535,0.3244565247523105,-0.0103608198839033,-398425.0,-0.06640404,0.019354877,,-0.029966532,-0.01036082,854.35,-0.361589359
ソニーグループ,T6758,2013-03-01,0.058149256,0.059398708,0.049964981,0.514890438,14211033,0.040257594,0.066035171,0.8117659,0.478185083,0.3399422618248771,0.0333313025788815,101686.0,-0.049629045,0.006229526,58.4,0.007155427,0.033331303,1034.71,-0.092738573
ソニーグループ,T6758,2014-03-01,0.068246062,0.061730161,0.047864641,0.516444216,15333720,0.046487676,0.059779884,0.818227019,0.506548052,0.3382416670164251,0.0034111101641169,-68841.0,-0.046335918,0.013556854,,-0.004489517,0.00341111,1202.89,0.19591451
ソニーグループ,T6758,2015-03-01,0.059959148,0.062301338,0.042024636,0.538788345,15834331,0.039295313,0.044971082,0.814724285,0.51886499,0.3579331733180134,0.0083433545767464,-49004.0,-0.040395518,-0.016621795,,-0.003094795,0.008343355,1543.11,1.032882144
ソニーグループ,T6758,2016-03-01,0.058992922,0.055560087,0.040972232,0.553821568,16673390,0.03304451,0.033382833,0.812162494,0.486146608,0.362561364134329,0.036295022571737,209715.0,-0.06179925,0.022798123,16.8,0.012577827,0.036295023,1347.2,-0.089301421
ソニーグループ,T6758,2017-03-01,0.054366465,0.057017514,0.03628623,0.572563684,17660556,0.030570951,0.038586667,0.82177911,0.430521553,0.3748712721533555,0.0379708677210403,127561.0,-0.071004163,0.025610858,34.4,0.007222933,0.037970868,1512.6,0.305225391
ソニーグループ,T6758,2018-03-01,0.083203999,0.055673331,0.036345001,0.564162312,19065538,0.024575755,0.032700415,0.808221147,0.448137472,0.3927586692013162,0.0860090763299829,547279.0,-0.043170458,0.012926779,7.1,0.028705144,0.086009076,1716.3,0.459758628
ソニーグループ,T6758,2019-03-01,0.070064913,0.05200951,0.031135778,0.558806708,20981586,0.023455043,0.027089087,0.788124168,0.413013916,0.405615503998702,0.1031926262741776,966550.0,-0.062313926,-0.005856755,4.8,0.046066586,0.103192626,1591.64,-0.039269006
ソニーグループ,T6758,2020-03-01,0.065642367,0.044653747,0.025607024,0.552712462,23039343,0.016528683,0.027560074,0.79177783,0.358512176,0.4245471940589972,0.1023572362084944,622260.0,-0.058694295,0.002849821,9.5,0.027008584,0.102357236,1403.04,0.254204545
ソニーグループ,T6758,2021-03-01,0.064962636,0.049640134,0.023144963,,27507843,0.058040283,0.038303112,0.755548299,0.327130739,0.2701633054073267,0.1061552379848513,1043896.0,-0.020499972,-0.012306781,6.6,0.037949033,0.106155238,1954.0,0.783850826
ソニーグループ,T6758,2022-03-01,0.067243142,0.053427472,0.028673861,,30480967,0.0604719,0.039488445,0.763877275,0.32549863,0.2723044358254633,0.1211850450631874,888406.0,-0.023909346,-0.011042235,9.1,0.029146255,0.121185045,1946.4,0.062267243
ソニーグループ,T6758,2023-03-01,0.047534682,0.05684479,0.047121959,,31154095,0.05989906,0.056740406,0.786315411,0.352261011,0.294785770449027,0.1186754815058682,1011773.0,-0.033788945,0.002705904,9.2,0.032476406,0.118675482,2003.5,-0.03593865
ソニーグループ,T6758,2024-03-01,0.055914786,0.063276307,0.044525235,,34107490,0.060541101,0.060342083,0.772598189,0.381756852,0.2553675021319787,0.092838686627394,980494.0,-0.024008979,-0.006177793,10.8,0.028747176,0.092838687,2768.62,0.127170276
日立製作所,T6501,2005-03-01,0.072791395,0.225730305,0.123143445,0.080211605,9736247,0.134472349,0.135476432,0.66836472,0.92715838,0.2288427118381955,0.0309132237433675,,-0.0541264,-0.010212251,,,0.030913224,1182.18,-0.128669785
日立製作所,T6501,2006-03-01,0.065686278,0.238831896,0.12596382,0.089502699,10021195,0.148182527,0.141548887,0.646291685,0.944478278,0.2194506783608023,0.0270488518459078,,-0.050030161,-0.026108463,,,0.027048852,1728.16,0.203214697
日立製作所,T6501,2007-03-01,0.058046878,0.234494012,0.136247906,0.082342228,10644259,0.156914727,0.139966812,0.669629798,0.962763401,0.2107291608829631,0.0178096923829197,,-0.073858594,0.011391963,,,0.017809692,1713.61,0.051970407
日立製作所,T6501,2008-03-01,0.05326827,0.240226166,0.136838376,0.083551304,10530847,0.158361241,0.134994555,0.685389029,1.066080914,0.2181469501150601,0.0307761784704101,,-0.060547646,-0.017620235,,,0.030776178,1212.96,-0.218105087
日立製作所,T6501,2009-03-01,0.085915674,0.226854957,0.154861342,0.055464604,9403709,0.125331505,0.137142908,0.768245487,1.063449433,0.2184108406399804,0.0127141308485716,,-0.058488411,0.03024211,,,0.012714131,773.66,-0.607738007
日立製作所,T6501,2010-03-01,0.0644304,0.250153495,0.136324603,0.061298032,8964464,0.140028785,0.179816886,0.747018338,1.000455353,0.2363026292110226,0.0225408890136706,,-0.059188703,-0.05603726,,,0.022540889,978.81,0.649409167
日立製作所,T6501,2011-03-01,0.060399783,0.227629376,0.146072523,0.059312106,9185629,0.136864661,0.141559277,0.734216459,1.01417192,0.2520848703714021,0.0477154582528384,303126.0,-0.028342751,-0.063596734,15.1,0.033000029,0.047715458,869.38,0.402776576
日立製作所,T6501,2012-03-01,0.065782799,0.248814942,0.150050231,0.065747761,9418526,0.140763427,0.132595164,0.705474615,1.026262814,0.2469419503629415,0.0426531130161621,412808.0,-0.020765882,-0.017819986,10.4,0.043829367,0.042653113,854.35,0.09705186
日立製作所,T6501,2013-03-01,0.053789339,0.246887472,0.146535355,0.06325104,9809230,0.125887965,0.133216063,0.67588822,0.921690184,0.254071669163974,0.0466789830541094,237721.0,-0.056422064,-0.01839543,26.8,0.024234422,0.046678983,1034.71,0.181416434
日立製作所,T6501,2014-03-01,0.050517873,0.231874366,0.120650383,,11098191,0.121387711,0.1547117,0.651399854,0.870992939,0.257871300372443,,525003.0,-0.049573755,0.020619577,12.3,0.04730528,,1202.89,0.41941392
日立製作所,T6501,2015-03-01,0.056435452,0.230827169,0.117271274,,12433727,0.114730121,0.168584528,0.654460646,0.786162508,0.2636027061063353,0.06560916548763,343418.0,-0.049264794,0.018755921,26.6,0.027619878,0.065609165,1543.11,0.056252199
日立製作所,T6501,2016-03-01,0.055717849,0.238448634,0.10356581,,12551005,0.115681414,0.165844887,0.671295645,0.799482193,0.2566427869194727,0.0632698527700722,294753.0,-0.058226333,-0.002108755,33.7,0.023484415,0.063269853,1347.2,-0.36573177
日立製作所,T6501,2017-03-01,0.07918549,0.251776686,0.126854049,,9663917,0.14509986,0.081748736,0.57605234,0.948090096,0.2597160483478756,0.0641008597874935,338029.0,-0.034970809,-0.021682305,27.1,0.034978469,0.06410086,1512.6,0.202642131
日立製作所,T6501,2018-03-01,0.069060198,0.247502944,0.136072625,,10106603,0.152077112,0.080310268,0.553591746,0.92697952,0.2670717354776277,0.0762791593292241,490918.0,-0.046932486,-0.031806335,20.0,0.048573989,0.076279159,1716.3,0.259937058
日立製作所,T6501,2019-03-01,0.08389189,0.249302453,0.140938974,,9626592,0.146055011,0.073597177,0.541436575,0.984836482,0.2653818279165105,0.0796336188596968,321022.0,-0.016918968,-0.033285507,39.1,0.033347421,0.079633619,1591.64,-0.126514703
日立製作所,T6501,2020-03-01,0.081805073,0.22761194,0.141885751,,9930081,0.127961494,0.107803954,0.570321833,0.882899445,0.270365791467645,0.0754948266066616,127246.0,-0.052952841,0.000285698,104.8,0.012814196,0.075494827,1403.04,-0.079732082
日立製作所,T6501,2021-03-01,0.085708141,0.230701925,0.13949342,,11852853,0.127897815,0.143959349,0.623868448,0.736463702,0.2514900570453452,0.0567268738151829,518510.0,-0.038711355,-0.015594389,20.2,0.043745588,0.056726874,1954.0,0.67185406
